"id","year","state_code","state_name","route_length","total_track"
115,"2015-2016",16,"Tripura",193,243
116,"2015-2016",5,"Uttarakhand",340,509
117,"2015-2016",9,"Uttar Pradesh",9077,15291
118,"2015-2016",19,"West Bengal",4135,10604
119,"2015-2016",4,"Chandigarh",16,66
120,"2015-2016",34,"Puducherry",22,26
121,"2016-2017",28,"Andhra Pradesh",3817,7282
122,"2016-2017",12,"Arunachal Pradesh",12,26
123,"2016-2017",18,"Assam",2440,3450
124,"2016-2017",10,"Bihar",3714,6772
125,"2016-2017",22,"Chhatisgarh",1216,2800
126,"2016-2017",7,"Delhi",183,699
127,"2016-2017",30,"Goa",69,98
128,"2016-2017",24,"Gujarat",5259,7746
129,"2016-2017",6,"Haryana",1710,3156
130,"2016-2017",2,"Himachal Pradesh",296,358
131,"2016-2017",1,"Jammu and Kashmir",298,491
132,"2016-2017",20,"Jharkhand",2455,6105
133,"2016-2017",29,"Karnataka",3424,5417
134,"2016-2017",32,"Kerala",1045,2074
135,"2016-2017",23,"Madhya Pradesh",5113,9491
136,"2016-2017",27,"Maharashtra",5784,11188
137,"2016-2017",14,"Manipur",13,18
138,"2016-2017",17,"Meghalaya",9,13
139,"2016-2017",15,"Mizoram",2,6
140,"2016-2017",13,"Nagaland",11,22
141,"2016-2017",21,"Odisha",2598,5157
142,"2016-2017",3,"Punjab",2269,3603
143,"2016-2017",8,"Rajasthan",5894,8670
144,"2016-2017",33,"Tamil Nadu",4028,6606
145,"2016-2017",36,"Telangana",1823,3146
146,"2016-2017",16,"Tripura",203,256
147,"2016-2017",5,"Uttarakhand",340,465
148,"2016-2017",9,"Uttar Pradesh",9167,15588
149,"2016-2017",19,"West Bengal",4139,10612
150,"2016-2017",4,"Chandigarh",16,66
151,"2016-2017",34,"Puducherry",22,26
152,"2017-2018",28,"Andhra Pradesh",3817,7311
153,"2017-2018",12,"Arunachal Pradesh",12,26
154,"2017-2018",18,"Assam",2465,3503
155,"2017-2018",10,"Bihar",3653,7611
156,"2017-2018",22,"Chhatisgarh",1211,2897
157,"2017-2018",7,"Delhi",183,788
158,"2017-2018",30,"Goa",69,98
159,"2017-2018",24,"Gujarat",5285,7728
160,"2017-2018",6,"Haryana",1710,3175
